
index	raw_category	category	count	nyuId	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey	mpcat40index	mpcat40
270	doors	door	9	28	8	12	door	door	Wall	door				n03221720	door.n.01	4	door
271	bar	bar	9	51	38	7	bar	otherstructure	Objects					n02788689	bar.n.03	39	objects
272	stair rail	banister	9	453	38	7	banister	otherstructure	Objects					n02788148	bannister.n.02	30	railing
273	window shade	window shade	9		40	7		otherprop	Objects					n04590129	window_shade.n.01	32	blinds
274	grass	grass	11	82	40	7	plant	otherprop	Objects	plant				n12102133	grass.n.01	14	plant
275	pool table	pool table	9	515	39	6	pool table	otherfurniture	Furniture	table	table	table	04379243	n03982430	pool_table.n.01	5	table
276	coat	coat	9	324	40	7	jacket	otherprop	Objects					n03057021	coat.n.01	38	clothes
277	trees	tree	9	82	40	7	plant	otherprop	Objects	plant				n13104059	tree.n.01	14	plant
278	cloth	cloth	11		40	7		otherprop	Objects					n03309808	fabric.n.01	39	objects
279	bottle of soap	bottle of soap	9	502	40	7	bottle of soap	otherprop	Objects							40	misc
280	floor lamp	floor lamp	9	144	35	7	lamp	lamp	Objects	lamp		lamp	03636649	n03367059	floor_lamp.n.01	28	lighting
281	water cooler	water cooler	9	509	39	6	water cooler	otherfurniture	Furniture					n04559166	water_cooler.n.01	39	objects
282	pews	pew	9	204	39	6	bench	otherfurniture	Furniture	bench		bench	02828884	n03920867	pew.n.01	34	seating
283	ledge	ledge	10		38	7		otherstructure	Objects					n09337253	ledge.n.01	39	objects
284	kitchen shelf	kitchen shelf	9	42	15	6	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving
285	bathroom utencils	bathroom utensil	8	267	40	7	utensil	otherprop	Objects					n04516672	utensil.n.01	39	objects
286	hanger	hanger	8	211	40	7	hanger	otherprop	Objects					n03490884	hanger.n.02	39	objects
287	shrubbery	shrubbery	8		40	7		otherprop	Objects					n08649067	shrubbery.n.01	39	objects
288	teapot	teapot	8	678	40	7	tea pot	otherprop	Objects					n04398044	teapot.n.01	39	objects
289	bottles	bottle	8	2	40	7	bottle	otherprop	Objects	bottle		bottle	02876657	n02876657	bottle.n.01	39	objects
290	exercise equipment	exercise equipment	8	457	39	6	excercise equipment	otherfurniture	Furniture					n04285146	sports_equipment.n.01	33	gym_equipment
291	boxes	box	8	26	29	7	box	box	Objects					n02883344	box.n.01	39	objects
292	locker	locker	8	3	3	6	cabinet	cabinet	Furniture					n02933462	cabinet.n.03	40	misc
293	wall cabinet	wall cabinet	8	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
294	wainscotting \other room	paneling /otherroom	8	21	1	12	wall	wall	Wall					n03882611	paneling.n.01	1	wall
295	ceiling light	ceiling lamp	9	144	35	7	lamp	lamp	Objects	lamp		lamp	03636649	n03636649	lamp.n.02	28	lighting
296	ornament	ornament	8		40	7		otherprop	Objects					n03169390	decoration.n.01	39	objects
297	bidet	bidet	8	124	33	7	toilet	toilet	Objects	toilet	toilet			n02836174	bidet.n.01	18	toilet
298	shower soap shelf	shower soap shelf	8		40	7		otherprop	Objects							40	misc
299	window / door	window/door	8		40	7		otherprop	Objects							40	misc
300	stuffed animal	stuffed animal	8	177	40	7	stuffed animal	otherprop	Objects					n04399382	teddy.n.01	39	objects
301	paper towel dispenser	paper towel dispenser	8	14	40	7	paper towel dispenser	otherprop	Objects							40	misc
302	chair bottom	chair	8	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
303	fencing	fencing	8		40	7		otherprop	Objects					n03327234	fence.n.01	40	misc
304	lampshade	lampshade	8	859	40	7	lamp shade	otherprop	Objects					n03637318	lampshade.n.01	28	lighting
305	door side	door frame	12	28	8	12	door	door	Wall	door				n03221720	door.n.01	4	door
306	bust	bust	7	294	40	7	sculpture	otherprop	Objects					n02926188	bust.n.03	39	objects
307	car	car	7	530	40	7	car	otherprop	Objects	car		car	02958343	n02958343	car.n.01	39	objects
308	figure	figure	7		40	7		otherprop	Objects							40	misc
309	sofa set	sofa set	7	83	6	9	sofa	sofa	Sofa	sofa	sofa	sofa	04256520	n04256520	sofa.n.01	10	sofa
310	commode	toilet	7	124	33	7	toilet	toilet	Objects	toilet	toilet			n04446276	toilet.n.01	18	toilet
311	toilet brush	toilet brush	7	630	40	7	toilet brush	otherprop	Objects							40	misc
312	doll	doll	7	99	40	7	doll	otherprop	Objects					n03219135	doll.n.01	39	objects
313	drums	drum	7	145	40	7	drum	otherprop	Objects					n03249569	drum.n.01	39	objects
314	bathroom counter	bathroom counter	7	7	12	6	counter	counter	Furniture	table	table	table	04379243	n03116530	counter.n.01	26	counter
315	dress	dress	7		40	7		otherprop	Objects					n03236735	dress.n.01	38	clothes
316	shower handle	shower handle	7	758	40	7	handle	otherprop	Objects							40	misc
317	closet door	closet door	7	28	8	12	door	door	Wall	door				n03221720	door.n.01	4	door
318	whiteboard	whiteboard	7	45	30	7	whiteboard	whiteboard	Objects					n03211616	display_panel.n.01	22	tv_monitor
319	garage door opener	garage door opener	7		40	7		otherprop	Objects							40	misc
320	range hood	range hood	7	380	38	7	range hood	otherstructure	Objects	range_hood				n04053677	range_hood.n.01	39	objects
321	window curtain	window curtain	7	89	16	13	curtain	curtain	Window	curtain				n03151077	curtain.n.01	12	curtain
322	easel	easel	7	50	39	6	stand	otherfurniture	Furniture					n03262809	easel.n.01	31	shelving
323	bowl of fruit	bowl of fruit	7	22	40	7	bowl	otherprop	Objects	bowl		bowl	02880940	n02880940	bowl.n.03	39	objects
324	molding	molding	10		38	7		otherstructure	Objects					n02800354	baseboard.n.01	1	wall
325	pool	pool	7		38	7		otherstructure	Objects					n03982060	pool.n.01	40	misc
326	kitchen appliance	kitchen appliance	6		40	7		otherprop	Objects					n03620052	kitchen_appliance.n.01	37	appliances
327	candelabra	candelabra	6	605	40	7	candelabra	otherprop	Objects					n02947818	candelabrum.n.01	39	objects
328	ceiling lamp	ceiling lamp	6	144	35	7	lamp	lamp	Objects	lamp		lamp	03636649	n03636649	lamp.n.02	28	lighting
329	toy	toy	6	389	40	7	toy	otherprop	Objects					n03964744	plaything.n.01	39	objects
330	top	top	6		40	7		otherprop	Objects							40	misc
331	wall art	picture	6	64	11	8	picture	picture	Picture					n03931044	picture.n.01	6	picture
332	highchair	highchair	6	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03518445	highchair.n.01	3	chair
333	footrest	footrest	6	163	39	6	foot rest	otherfurniture	Furniture	stool				n03380724	footstool.n.01	19	stool
334	bathroom sink	sink	6	24	34	7	sink	sink	Objects	sink				n04223580	sink.n.01	15	sink
335	soap dish	soap dish	6	638	40	7	soap dish	otherprop	Objects					n04254009	soap_dish.n.01	39	objects
336	miscellaneous object	object	6		40	7		otherprop	Objects					n00002684	object.n.01	39	objects
337	trim	molding	7		38	7		otherstructure	Objects					n02800354	baseboard.n.01	1	wall
338	tabletop object	object	6		40	7		otherprop	Objects					n00002684	object.n.01	39	objects
339	clothes hanger rod	clothes hanger rod	6		40	7		otherprop	Objects					n04100174	rod.n.01	39	objects
340	altar	altar	6	19	7	10	table	table	Table	table	table	table	04379243	n02699629	altar.n.01	5	table
341	candles	candle	6	137	40	7	candle	otherprop	Objects	lamp				n02948072	candle.n.01	39	objects
342	placemat	place mat	6	154	40	7	placemat	otherprop	Objects					n03952886	place_mat.n.01	39	objects
343	kitchen center island	kitchen island	6	456	38	7	kitchen island	otherstructure	Objects					n03620600	kitchen_island.n.01	26	counter
344	plate of food	plate of food	6		40	7		otherprop	Objects							40	misc
345	sheet	sheet	7	559	40	7	sheet	otherprop	Objects							40	misc
346	wood	wood	6		40	7		otherprop	Objects							40	misc
347	robe	robe	6		40	7		otherprop	Objects					n04097866	robe.n.01	38	clothes
348	bathroom stall	bathroom stall	6		38	7		otherstructure	Objects					n02873839	booth.n.02	40	misc
349	tabletop decoration	decoration	6		40	7		otherprop	Objects					n03169390	decoration.n.01	39	objects
350	plush toy	plush toy	6	389	40	7	toy	otherprop	Objects					n04399382	teddy.n.01	39	objects
351	wash basin	washbasin	6	24	34	7	sink	sink	Objects	sink				n04553920	washbasin.n.01	15	sink
352	celing	ceiling	6	4	22	3	ceiling	ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling
353	hangers	hanger	6	211	40	7	hanger	otherprop	Objects					n03490884	hanger.n.02	39	objects
354	bushes	bush	6	82	40	7	plant	otherprop	Objects	plant				n13112664	shrub.n.01	14	plant
355	floor/other room	floor /otherroom	6	11	2	5	floor	floor	Floor					n03365592	floor.n.01	2	floor
356	dinner placesetting	place mat	6	154	40	7	placemat	otherprop	Objects					n03952886	place_mat.n.01	39	objects
357	curtain valence	curtain valence	6	89	16	13	curtain	curtain	Window	curtain				n03151077	curtain.n.01	12	curtain
358	control	control	6		40	7		otherprop	Objects					n03096960	control.n.09	39	objects
359	tap	tap	6	9	40	7	faucet	otherprop	Objects			faucet	03325088	n04559451	water_faucet.n.01	39	objects
360	shampoo	shampoo	6	548	40	7	cleaner	otherprop	Objects					n04183516	shampoo.n.01	39	objects
361	computer	computer	7	46	40	7	computer	otherprop	Objects					n03082979	computer.n.01	39	objects
362	massage bed	massage bed	6	157	4	1	bed	bed	Bed	bed	bed	bed	02818832	n02818832	bed.n.01	11	bed
363	knob	knob	6	652	40	7	knob	otherprop	Objects							40	misc
364	door stopper	door stopper	6		40	7		otherprop	Objects							40	misc
365	bulletin board	bulletin board	6	408	38	7	board	otherstructure	Objects					n03211616	display_panel.n.01	22	tv_monitor
366	brick archway	archway	6	21	1	12	wall	wall	Wall					n02734217	arch.n.03	4	door
367	fruit bowl	fruit bowl	6	22	40	7	bowl	otherprop	Objects	bowl		bowl	02880940	n02880940	bowl.n.03	39	objects
368	electric wire casing	electric wire casing	5		40	7		otherprop	Objects							40	misc
369	bookcase	bookshelf	5	88	10	6	bookshelf	bookshelf	Furniture	bookshelf		bookshelf	02871439	n02871439	bookshelf.n.01	31	shelving
370	other room	unknown /otherroom	6	20	40	7	unknown	otherprop	Objects					n08632096	unknown.n.01	41	unlabeled
371	exercise machine	exercise equipment	5	457	39	6	excercise equipment	otherfurniture	Furniture					n04285146	sports_equipment.n.01	33	gym_equipment
372	storage shelving	storage shelving	5	42	15	6	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving
373	coffee maker	coffee maker	5		40	7		otherprop	Objects					n03063338	coffee_maker.n.01	37	appliances
374	shower ceiling	shower ceiling	5	4	22	3	ceiling	ceiling	Ceiling					n04208936	shower.n.01	23	shower
375	fire alarm	fire alarm	5	338	40	7	fire alarm	otherprop	Objects					n03343737	fire_alarm.n.02	39	objects
376	tissue paper	tissue paper	5	15	26	7	paper	paper	Objects							40	misc
377	projector	projector	5	90	40	7	projector	otherprop	Objects					n04009552	projector.n.02	39	objects
378	coat hanger	coat hanger	5	400	40	7	coat hanger	otherprop	Objects					n03057920	coat_hanger.n.01	39	objects
379	wall cubby	wall cubby	5		40	7		otherprop	Objects							40	misc
380	balcony railing	balcony railing	5	497	38	7	railing	otherstructure	Objects							40	misc
381	shelf /w clutter	shelf /w clutter	5	42	15	6	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving
382	case	case	5	851	40	7	case	otherprop	Objects							40	misc
383	coat rack	coat rack	5		40	7		otherprop	Objects					n03059103	coatrack.n.01	40	misc
384	pan	pan	5	589	40	7	pan	otherprop	Objects					n03880531	pan.n.01	39	objects
385	fridge	refrigerator	5	17	24	6	refridgerator	refridgerator	Furniture					n04070727	refrigerator.n.01	37	appliances
386	suitcase	luggage	5	783	40	7	luggage	otherprop	Objects					n02774630	baggage.n.01	39	objects
387	wardrobe rod	closet rod	5		40	7		otherprop	Objects					n04100174	rod.n.01	39	objects
388	hamper	clothes hamper	5	39	40	7	basket	otherprop	Objects			basket	02801938	n03050864	clothes_hamper.n.01	39	objects
389	trinket	trinket	5	844	40	7	trinket	otherprop	Objects					n02787435	bangle.n.02	39	objects
390	c;lothes hangers	clothes hanger	5	211	40	7	hanger	otherprop	Objects					n03057920	coat_hanger.n.01	39	objects
391	paper	paper	5	15	26	7	paper	paper	Objects					n14974264	paper.n.01	39	objects
392	back splash	backsplash	5		40	7		otherprop	Objects							40	misc
393	chimney	chimney	5	702	38	7	chimney	otherstructure	Objects					n03017428	chimney.n.01	40	misc
394	arc	arch	5		40	7		otherprop	Objects					n02733524	arch.n.04	40	misc
395	shower bench	shower bench	5	204	39	6	bench	otherfurniture	Furniture	bench		bench	02828884	n02828884	bench.n.01	34	seating
396	person	person	5	331	31	7	person	person	Objects	person				n05217688	person.n.02	39	objects
397	tablet	tablet	5	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
398	exercise mat	exercise mat	5	143	20	5	floor mat	floor mat	Floor					n03727946	mat.n.03	33	gym_equipment
399	smoke alarm	smoke alarm	5	525	40	7	alarm	otherprop	Objects					n03343737	fire_alarm.n.02	39	objects
400	kitchen utensils	kitchen utensil	5	267	40	7	utensil	otherprop	Objects					n03621049	kitchen_utensil.n.01	39	objects
401	weights	weight	5		40	7		otherprop	Objects					n04571292	weight.n.02	33	gym_equipment
402	display cabinet	display cabinet	5	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
403	showcase	display cabinet	5	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
404	bedpost	bedpost	5		40	7		otherprop	Objects					n02821415	bedpost.n.01	11	bed
405	file cabinet	file cabinet	5	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
406	umbrella	umbrella	5	203	40	7	umbrella	otherprop	Objects					n04507155	umbrella.n.01	39	objects
407	massage table	massage table	5	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
408	laundry basket	laundry basket	5	164	40	7	laundry basket	otherprop	Objects			basket	02801938	n03050864	clothes_hamper.n.01	39	objects
409	jar	jar	5	70	40	7	jar	otherprop	Objects			jar	03593526	n03593526	jar.n.01	39	objects
410	exercise bike	exercise bike	5	457	39	6	excercise equipment	otherfurniture	Furniture					n03302671	exercise_bike.n.01	33	gym_equipment
411	hose	hose	5		40	7		otherprop	Objects					n03539875	hose.n.03	40	misc
412	window dormer	window dormer	5		40	7		otherprop	Objects							40	misc
413	closet shelf	closet shelf	5		40	7		otherprop	Objects					n04190052	shelf.n.01	31	shelving
414	power breaker box	power breaker box	5	26	29	7	box	box	Objects							40	misc
415	smoke detector	smoke detector	5		40	7		otherprop	Objects							40	misc
416	door knob	door knob	4	27	40	7	door knob	otherprop	Objects							40	misc
417	shelf side	shelf	4	42	15	6	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving
418	jacuzzi	jacuzzi	4		40	7		otherprop	Objects							40	misc
419	backpack	backpack	4	206	40	7	backpack	otherprop	Objects					n02769748	backpack.n.01	39	objects
420	wooden desk	desk	4	36	14	10	desk	desk	Table	desk	desk	table	04379243	n03179701	desk.n.01	5	table
421	bath mat	bath mat	4		40	7		otherprop	Objects					n02807401	bath_mat.n.01	2	floor
422	unknown clutter	unknown clutter	4		40	7		otherprop	Objects							40	misc
423	hook	hook	4		40	7		otherprop	Objects							40	misc
424	sauna wall	wall	4	21	1	12	wall	wall	Wall					n04546855	wall.n.01	1	wall
425	elevator	elevator	4		40	7		otherprop	Objects							40	misc
426	tool	tool	4		40	7		otherprop	Objects					n04451818	tool.n.01	39	objects
427	recliner	recliner	4	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n04062428	recliner.n.01	3	chair
428	recessed wall	recessed wall	4	21	1	12	wall	wall	Wall							40	misc
429	closet bar	closet rod	4		40	7		otherprop	Objects					n04100174	rod.n.01	39	objects
430	tank	tank	4		40	7		otherprop	Objects							40	misc
431	toaster	toaster	4	251	40	7	toaster	otherprop	Objects					n04442312	toaster.n.02	37	appliances
432	toilet brush holder	toilet brush holder	4		40	7		otherprop	Objects							40	misc
433	handrail /otherroom	handrail /otherroom	4	453	38	7	banister	otherstructure	Objects					n02788148	bannister.n.02	30	railing
434	landing	landing	6		40	7		otherprop	Objects					n03638511	landing.n.01	2	floor
